time,summary,icon,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,precipType,ozone,precipAccumulation,city,demand,hour,day_of_week,month,season,kmeans_cluster
1559041200,Mostly Cloudy,partly-cloudy-night,0.001453488372093,0.01,0.6136713444997736,0.6751199451679232,69.24,0.93,0.4670750382848396,0.450915750915751,0.5092187796996769,0.479108635097493,0.61,0.0,1.0,rain,0.3263345195729538,0.008611082970317,dallas,14791.0,11,1,5,Spring,6
1559044800,Mostly Cloudy,partly-cloudy-day,0.000484496124031,0.01,0.6343141693073788,0.6926357474678243,70.1,0.89,0.4747320061255742,0.3736263736263736,0.4628397643033644,0.4707520891364902,0.72,0.0,1.0,rain,0.3274021352313166,0.008611082970317,dallas,15622.0,12,1,5,Spring,6
1559048400,Overcast,cloudy,0.000968992248062,0.01,0.6400181077410593,0.6980427994821414,70.86,0.89,0.4793261868300167,0.3428571428571428,0.4615092187796997,0.479108635097493,0.88,0.0833333333333333,1.0,rain,0.3192170818505339,0.008611082970317,dallas,16111.0,13,1,5,Spring,3
1559052000,Overcast,cloudy,0.0008882428940568,0.01,0.6504300588501584,0.7068768562942654,71.21,0.87,0.4869831546707512,0.3886446886446886,0.4577076601406576,0.4846796657381615,0.94,0.1666666666666666,1.0,rain,0.3103202846975089,0.008611082970317,dallas,16219.0,14,1,5,Spring,3
1559055600,Humid and Overcast,cloudy,0.0015342377260981,0.02,0.6628338614757809,0.717843271647247,72.07,0.85,0.4869831546707512,0.4293040293040293,0.4567572704808972,0.4930362116991643,0.92,0.25,1.0,rain,0.3021352313167259,0.008611082970317,dallas,16090.0,15,1,5,Spring,3
1559059200,Humid and Overcast,cloudy,0.0020994832041343,0.02,0.685921231326392,0.7533318102200899,72.58,0.8,0.4808575803981636,0.5102564102564102,0.4746245960843946,0.4818941504178273,0.89,0.4166666666666666,1.0,rain,0.2964412811387901,0.008611082970317,dallas,16339.0,16,1,5,Spring,3
1559062800,Humid and Overcast,cloudy,0.0012919896640826,0.02,0.7035762788592124,0.776254664534308,72.12,0.74,0.473200612557429,0.5666666666666668,0.5343090667173541,0.4874651810584958,0.9,0.4166666666666666,1.0,rain,0.2918149466192171,0.008611082970317,dallas,16643.0,17,1,5,Spring,3
1559066400,Overcast,cloudy,0.0007267441860465,0.03,0.7122679945676776,0.7864595232655548,71.99,0.71,0.4686064318529865,0.5611721611721612,0.5019958182854971,0.4874651810584958,0.91,0.4166666666666666,1.0,rain,0.2985765124555158,0.008611082970317,dallas,16950.0,18,1,5,Spring,3
1559070000,Overcast,cloudy,0.000484496124031,0.03,0.711090991398823,0.7828802071434011,71.47,0.7,0.4594180704441033,0.5626373626373626,0.4622695305075081,0.4930362116991643,0.92,0.4166666666666666,1.0,rain,0.3003558718861209,0.008611082970317,dallas,17013.0,19,1,5,Spring,3
1559073600,Mostly Cloudy,partly-cloudy-day,0.0013727390180878,0.02,0.7221367134449977,0.7939989338207296,71.13,0.67,0.4502297090352236,0.5476190476190477,0.4464930621554837,0.5097493036211699,0.74,0.5,1.0,rain,0.30355871886121,0.008611082970317,dallas,16724.0,20,1,5,Spring,3
1559077200,Mostly Cloudy,partly-cloudy-day,0.0025839793281653,0.02,0.730828429153463,0.801157566065037,70.67,0.64,0.4456355283307811,0.5326007326007326,0.4750047519482988,0.5181058495821727,0.78,0.4166666666666666,1.0,rain,0.3085409252669039,0.008611082970317,dallas,16383.0,21,1,5,Spring,3
1559080800,Mostly Cloudy,partly-cloudy-day,0.0016149870801033,0.02,0.7434133091896785,0.8131901606884472,70.47,0.61,0.4364471669218996,0.5113553113553114,0.4474434518152442,0.5125348189415042,0.61,0.3333333333333333,1.0,rain,0.3160142348754448,0.008611082970317,dallas,16135.0,22,1,5,Spring,3
1559084400,Partly Cloudy,partly-cloudy-day,0.001453488372093,0.03,0.7562698053417836,0.8240804203792551,70.09,0.57,0.4272588055130182,0.5395604395604396,0.4584679718684661,0.5013927576601671,0.38,0.1666666666666666,1.0,rain,0.3252669039145907,0.008611082970317,dallas,15131.0,23,1,5,Spring,6
1559088000,Humid,clear-day,0.0002422480620155,0.03,0.749660479855138,0.8293351610692254,72.08,0.63,0.4226646248085757,0.4355311355311356,0.4333776848507888,0.4958217270194986,0.27,0.0833333333333333,1.0,rain,0.3238434163701068,0.008611082970317,dallas,13803.0,0,2,5,Spring,6
1559091600,Humid,clear-day,0.0,0.0,0.7370755998189225,0.8175310334323357,72.43,0.66,0.4226646248085757,0.3992673992673993,0.429956282075651,0.49025069637883,0.3,0.0,1.0,No Precipitation,0.3274021352313166,0.008611082970317,dallas,12707.0,1,2,5,Spring,1
1559095200,Humid,clear-night,0.0012112403100775,0.02,0.7180624717066546,0.7973497829563628,72.82,0.72,0.4333843797856058,0.3648351648351648,0.3913704618893747,0.479108635097493,0.12,0.0,1.0,rain,0.3302491103202848,0.008611082970317,dallas,11960.0,2,2,5,Spring,1
1559098800,Humid,clear-night,0.0005652454780361,0.02,0.7046627433227705,0.7813570938999315,73.09,0.76,0.4441041347626342,0.352014652014652,0.3793955521763923,0.4874651810584958,0.15,0.0,1.0,rain,0.3313167259786477,0.008611082970317,dallas,11468.0,3,2,5,Spring,1
1559102400,Humid,clear-night,0.0,0.0,0.6966953372566772,0.7709237681821643,73.24,0.79,0.447166921898928,0.3681318681318681,0.3820566432237218,0.4846796657381615,0.09,0.0,1.0,No Precipitation,0.3298932384341636,0.008611082970317,dallas,11225.0,4,2,5,Spring,1
1559106000,Humid,clear-night,0.0012112403100775,0.02,0.6899954730647352,0.7605665981265708,73.08,0.8,0.4532924961715157,0.3846153846153846,0.3505037065196731,0.4874651810584958,0.08,0.0,1.0,rain,0.3266903914590747,0.008611082970317,dallas,11319.0,5,2,5,Spring,1
1559109600,Humid,clear-night,0.0004037467700258,0.02,0.682209144409235,0.7472393572462113,72.22,0.8,0.460949464012252,0.3435897435897436,0.4162706709750998,0.4818941504178273,0.0,0.0,1.0,rain,0.3306049822064055,0.008611082970317,dallas,11835.0,6,2,5,Spring,1
1559113200,Humid,clear-night,0.001453488372093,0.01,0.676414667270258,0.7291143096489223,72.25,0.82,0.4563552833078113,0.3879120879120879,0.4478236076791484,0.49025069637883,0.03,0.0,1.0,rain,0.3323843416370106,0.008611082970317,dallas,12618.0,7,2,5,Spring,1
1559116800,Humid,clear-night,0.000484496124031,0.01,0.6656405613399727,0.7208894981341862,72.78,0.87,0.4563552833078113,0.419047619047619,0.460178673256035,0.49025069637883,0.08,0.0,1.0,rain,0.3348754448398577,0.008611082970317,dallas,13211.0,8,2,5,Spring,6
1559120400,Humid and Partly Cloudy,partly-cloudy-night,0.0001614987080103,0.01,0.6601177003168853,0.7167009367146447,73.09,0.89,0.4517611026033687,0.3985347985347985,0.4666413229424064,0.4846796657381615,0.38,0.0,1.0,rain,0.3373665480427047,0.008611082970317,dallas,13812.0,9,2,5,Spring,6
1559124000,Humid and Partly Cloudy,partly-cloudy-night,0.0003229974160206,0.01,0.6522408329560887,0.7106846394029396,73.36,0.93,0.4563552833078113,0.3644688644688644,0.4398403345371602,0.4846796657381615,0.43,0.0,1.0,rain,0.3380782918149466,0.008611082970317,dallas,14494.0,10,2,5,Spring,6
1559127600,Humid and Partly Cloudy,partly-cloudy-night,0.0013727390180878,0.01,0.6416478044363966,0.702688294874724,73.76,0.98,0.4594180704441033,0.3326007326007326,0.4358486979661661,0.4874651810584958,0.31,0.0,1.0,rain,0.3380782918149466,0.008611082970317,dallas,15251.0,11,2,5,Spring,6
